home_team,away_team,game_id,season,date,pts_H,pts_A,winner,playoff,fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,referee_name,referee_id
MIL,BKN,0022100001,2021-22,2021-10-19,127.0,104.0,home,False,0.4404761904761904,0.53125,0.5652173913043478,44,19,12,3,9,0.5524861878453038,0.0,0.0,0.4571428571428571,0.3777777777777777,0.7777777777777778,54,25,7,8,9,0.5623450230251505,1.0,0.0,101.96078431372548,124.50980392156865,124.50980392156865,101.96078431372548,14.6,10.6,Josh Tiven,201639
LAL,GSW,0022100002,2021-22,2021-10-19,114.0,121.0,away,False,0.4408602150537634,0.358974358974359,0.8333333333333334,50,30,17,9,2,0.5696798493408662,1.0,0.0,0.4736842105263157,0.3571428571428571,0.4736842105263157,45,21,17,7,4,0.5514705882352942,0.0,0.0,107.07964601769912,101.78571428571428,101.78571428571428,107.07964601769912,11.2,12.4,Sean Wright,2882
CHA,IND,0022100003,2021-22,2021-10-20,123.0,122.0,home,False,0.4666666666666667,0.3617021276595745,0.875,51,29,16,2,10,0.6066030230708035,0.0,0.0,0.4299065420560747,0.4193548387096774,0.6666666666666666,46,29,8,9,5,0.517328398384926,1.0,0.0,114.01869158878505,116.03773584905662,116.03773584905662,114.01869158878505,20.6,16.4,Rodney Mott,1179
DET,CHI,0022100004,2021-22,2021-10-20,88.0,94.0,away,False,0.4302325581395348,0.3043478260869565,0.8666666666666667,48,18,17,8,5,0.5075593952483801,1.0,0.0,0.4,0.2142857142857142,0.7692307692307693,47,17,16,7,5,0.4596740493104889,0.0,0.0,95.91836734693877,89.79591836734694,89.79591836734694,95.91836734693877,15.6,8.4,Derek Richardson,1204
NYK,BOS,0022100005,2021-22,2021-10-20,138.0,134.0,home,False,0.4102564102564102,0.3684210526315789,0.7391304347826086,56,34,18,13,9,0.5270610446821901,0.0,0.0,0.4857142857142857,0.3777777777777777,0.7037037037037037,55,27,17,9,10,0.5903490759753593,1.0,1.0,108.06451612903226,110.4,110.4,108.06451612903226,20.4,22.2,Scott Foster,1162
TOR,WAS,0022100006,2021-22,2021-10-20,83.0,98.0,away,False,0.4444444444444444,0.1851851851851851,0.8076923076923077,51,20,21,14,8,0.5300735612289053,1.0,0.0,0.3092783505154639,0.2058823529411764,0.7272727272727273,54,14,19,10,4,0.3890138732658417,0.0,0.0,92.45283018867924,77.57009345794393,77.57009345794393,92.45283018867924,10.4,4.4,Bill Kennedy,1662
MEM,CLE,0022100007,2021-22,2021-10-20,132.0,121.0,home,False,0.5053763440860215,0.3684210526315789,0.7222222222222222,36,38,10,6,5,0.5994847403884265,0.0,0.0,0.53,0.4242424242424242,1.0,53,28,10,8,8,0.6268996960486322,1.0,0.0,116.34615384615384,125.71428571428572,125.71428571428572,116.34615384615384,15.8,19.8,Michael Smith,1193
MIN,HOU,0022100008,2021-22,2021-10-20,124.0,106.0,home,False,0.4545454545454545,0.3333333333333333,0.6818181818181818,41,21,24,13,3,0.5425880425880425,0.0,0.0,0.4827586206896552,0.4210526315789473,0.7741935483870968,46,26,18,18,12,0.6160572337042926,1.0,0.0,98.14814814814817,114.8148148148148,114.8148148148148,98.14814814814817,5.0,18.6,Curtis Blair,200832
NOP,PHI,0022100009,2021-22,2021-10-20,97.0,117.0,away,False,0.5176470588235295,0.52,0.8,47,24,12,9,5,0.6236673773987207,1.0,0.0,0.4193548387096774,0.4333333333333333,0.6666666666666666,44,28,13,5,6,0.5002062706270627,0.0,0.0,118.1818181818182,97.97979797979798,97.97979797979798,118.1818181818182,15.6,13.4,Courtney Kirkland,2004
SAS,ORL,0022100010,2021-22,2021-10-20,123.0,97.0,home,False,0.4069767441860465,0.3103448275862069,0.782608695652174,44,17,16,6,6,0.5045776113191843,0.0,0.0,0.5,0.4333333333333333,0.6666666666666666,43,32,8,8,3,0.5806268882175226,1.0,0.0,102.10526315789474,128.125,128.125,102.10526315789474,10.4,15.4,Sean Corbin,1151
UTA,OKC,0022100011,2021-22,2021-10-20,107.0,86.0,home,False,0.3736263736263736,0.2,0.6111111111111112,50,19,14,4,2,0.4346947027901334,0.0,0.0,0.4395604395604395,0.2978723404255319,0.8666666666666667,53,18,10,6,5,0.5481557377049181,1.0,0.0,90.52631578947368,111.45833333333331,111.45833333333331,90.52631578947368,5.8,11.6,Zach Zarba,2534
PHX,DEN,0022100012,2021-22,2021-10-20,98.0,110.0,away,False,0.5301204819277109,0.4358974358974359,0.5555555555555556,46,25,17,9,1,0.6324747010119596,1.0,0.0,0.4137931034482758,0.3783783783783784,0.7058823529411765,45,23,18,9,3,0.5186282811176969,0.0,0.0,108.91089108910892,97.02970297029702,97.02970297029702,108.91089108910892,18.6,9.4,Leon Wood,1201
POR,SAC,0022100013,2021-22,2021-10-20,121.0,124.0,away,False,0.4565217391304347,0.4146341463414634,0.7931034482758621,43,24,10,6,4,0.5918289423444062,1.0,0.0,0.4838709677419355,0.3428571428571428,0.8636363636363636,49,25,12,5,5,0.5892091936112193,0.0,0.0,116.98113207547168,114.15094339622642,114.15094339622642,116.98113207547168,18.0,16.6,Sean Wright,2882
ATL,DAL,0022100014,2021-22,2021-10-21,113.0,87.0,home,False,0.3333333333333333,0.3023255813953488,0.9230769230769232,50,16,15,7,3,0.4406401944894652,0.0,0.0,0.4787234042553192,0.4285714285714285,0.8888888888888888,55,31,13,8,9,0.5767660269497754,1.0,0.0,83.65384615384616,108.65384615384616,108.65384615384616,83.65384615384616,6.0,17.6,James Capers,1148
