fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,home_team,away_team,game_id,season,date,playoff,referee
0.4375,0.35,0.7142857142857143,39,24,7,9,2,0.5368681109844166,0.0,0.0,0.44086021505376344,0.358974358974359,0.8333333333333334,50,30,17,9,2,0.5696798493408662,1.0,0.0,108.65384615384615,112.74509803921569,109.76744186046513,105.09259259259258,14.4,13.3,GSW,LAC,0022100016,2021-22,2021-10-21,False,"{'name': 'Tom Washington', 'id': 1199}"
0.53,0.42424242424242425,1.0,53,28,10,8,8,0.6268996960486322,1.0,0.0,0.4375,0.35,0.7142857142857143,39,24,7,9,2,0.5368681109844166,0.0,0.0,123.52941176470588,116.33663366336633,112.37623762376239,116.91542288557213,20.0,13.8,LAC,MEM,0022100034,2021-22,2021-10-23,False,"{'name': 'Tony Brothers', 'id': 1146}"
0.5133689839572193,0.38823529411764707,0.7692307692307693,97,49,21,13,10,0.6245101880877743,0.5,0.0,0.4358974358974359,0.34177215189873417,0.7894736842105263,83,47,14,16,6,0.5360853958057812,0.0,0.0,105.90062111801242,106.8111455108359,108.2018927444795,101.9047619047619,12.133333333333335,12.566666666666666,LAC,POR,0022100049,2021-22,2021-10-25,False,"{'name': 'Eric Lewis', 'id': 2715}"
0.47413793103448276,0.30327868852459017,0.7764705882352941,175,113,52,29,19,0.5617540217955371,0.5,0.25,0.4479166666666667,0.3360655737704918,0.7719298245614035,126,84,31,37,12,0.5477833141689026,0.333,0.0,105.0,102.78884462151395,102.17917675544794,100.48661800486617,14.466666666666665,11.033333333333335,LAC,CLE,0022100064,2021-22,2021-10-27,False,"{'name': 'Derrick Collins', 'id': 2002}"
0.4266666666666667,0.3067484662576687,0.7428571428571429,162,103,45,50,14,0.519960571710202,0.25,0.25,0.4691011235955056,0.35443037974683544,0.7613636363636364,192,86,64,35,20,0.5788913660316173,0.5,0.25,100.390625,102.34375,108.81226053639847,102.10727969348659,10.5,12.333333333333332,POR,LAC,0022100076,2021-22,2021-10-29,False,"{'name': 'Courtney Kirkland', 'id': 2004}"
0.4145873320537428,0.2922374429223744,0.725,260,119,87,45,22,0.5080167305681422,0.167,0.2,0.4199134199134199,0.3170731707317073,0.7093023255813954,205,120,57,57,19,0.5141645326504481,0.2,0.2,96.71428571428572,109.54415954415954,100.32733224222585,100.98039215686273,10.352380952380951,10.620000000000001,LAC,OKC,0022100102,2021-22,2021-11-01,False,"{'name': 'Sean Corbin', 'id': 1151}"
0.41335740072202165,0.32388663967611336,0.7142857142857143,256,138,69,65,24,0.5106631122959013,0.333,0.2,0.4109090909090909,0.3155893536121673,0.7433628318584071,276,139,97,62,38,0.516074167945041,0.5,0.6,103.64656381486677,103.0942334739803,103.38028169014083,104.34782608695652,12.252380952380953,12.102857142857143,MIN,LAC,0022100115,2021-22,2021-11-03,False,"{'name': 'Marc Davis', 'id': 1830}"
0.43670886075949367,0.3568904593639576,0.7350427350427351,291,171,89,71,31,0.5406156727336572,0.429,0.4,0.41770186335403725,0.3201320132013201,0.7674418604651163,315,166,113,73,40,0.5237171071408185,0.429,0.4,103.30882352941177,100.24539877300613,100.49140049140048,103.921568627451,12.442857142857143,7.025,MIN,LAC,0022100129,2021-22,2021-11-05,False,"{'name': 'Marat Kogut', 'id': 201245}"
0.4527098831030818,0.38764044943820225,0.7136150234741784,436,266,130,92,52,0.5518401113344673,0.5,0.4,0.43333333333333335,0.3440514469453376,0.7516778523489933,353,189,106,83,35,0.5365599063088753,0.5,0.6,109.76253298153034,113.40929009640665,104.56026058631922,100.43525571273122,13.654545454545456,12.516666666666667,LAC,CHA,0022100146,2021-22,2021-11-07,False,"{'name': 'David Guthrie', 'id': 2714}"
0.45121951219512196,0.35645933014354064,0.7407407407407407,480,231,137,85,50,0.5598075439522514,0.5,0.4,0.43796526054590573,0.34818941504178275,0.7764705882352941,403,213,126,91,40,0.5466621253405994,0.556,0.6,109.4850948509485,107.58807588075881,106.09037328094301,101.67487684729065,12.931313131313132,13.193333333333333,LAC,POR,0022100157,2021-22,2021-11-09,False,"{'name': 'David Guthrie', 'id': 2714}"
