fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,home_team,away_team,game_id,season,date,playoff,referee
0.45652173913043476,0.4146341463414634,0.7931034482758621,43,24,10,6,4,0.5918289423444062,1.0,0.0,0.4838709677419355,0.34285714285714286,0.8636363636363636,49,25,12,5,5,0.5892091936112193,0.0,0.0,116.98113207547169,114.15094339622642,114.15094339622642,116.98113207547169,18.0,16.6,POR,SAC,0022100013,2021-22,2021-10-20,False,"{'name': 'Sean Wright', 'id': 2882}"
0.43956043956043955,0.2978723404255319,0.8666666666666667,53,18,10,6,5,0.5481557377049181,1.0,0.0,0.45652173913043476,0.4146341463414634,0.7931034482758621,43,24,10,6,4,0.5918289423444062,1.0,0.0,109.04522613065326,94.44444444444444,107.65550239234449,110.5263157894737,13.0,14.5,SAC,UTA,0022100026,2021-22,2021-10-22,False,"{'name': 'Kevin Cutler', 'id': 201246}"
0.4772727272727273,0.4142857142857143,0.75,103,57,38,14,6,0.5933226065969429,1.0,0.5,0.42408376963350786,0.3246753246753247,0.76,95,44,25,21,9,0.528169014084507,0.5,0.5,112.6984126984127,105.3627760252366,107.0967741935484,113.2686084142395,13.933333333333332,15.133333333333331,SAC,GSW,0022100039,2021-22,2021-10-24,False,"{'name': 'Derrick Collins', 'id': 2002}"
0.44404332129963897,0.3252032520325203,0.7301587301587301,142,70,44,21,13,0.5447624048306642,0.333,0.3333333333333333,0.4618320610687023,0.3402061855670103,0.7166666666666667,130,81,43,23,6,0.5513176144244106,0.333,0.3333333333333333,107.8048780487805,111.19221411192215,104.42260442260442,113.89578163771712,14.916666666666668,14.45,PHX,SAC,0022100062,2021-22,2021-10-27,False,"{'name': 'Eric Lewis', 'id': 2715}"
0.4435483870967742,0.3416149068322981,0.7307692307692307,182,98,55,28,19,0.5439062807639299,0.5,0.25,0.42538975501113585,0.3515151515151515,0.8,251,112,83,32,27,0.5204460966542751,0.2,0.2,108.6105675146771,110.546875,101.49006622516556,107.92079207920793,15.49,13.799999999999997,NOP,SAC,0022100074,2021-22,2021-10-29,False,"{'name': 'Kevin Scott', 'id': 202041}"
0.45353982300884954,0.3404255319148936,0.7864077669902912,227,117,69,32,24,0.5579908308533741,0.6,0.4,0.3963963963963964,0.30952380952380953,0.7083333333333334,231,97,65,34,26,0.4987249095097071,0.6,0.6,107.5657894736842,110.18062397372744,99.32659932659934,103.69127516778522,15.053333333333333,9.833333333333332,DAL,SAC,0022100089,2021-22,2021-10-31,False,"{'name': 'Derrick Collins', 'id': 2002}"
0.44343065693430656,0.3169642857142857,0.7886178861788617,283,137,81,38,27,0.5430811133993224,0.5,0.6,0.44787644787644787,0.3253012048192771,0.8531468531468531,301,106,88,44,35,0.5740893754733871,0.833,0.8,107.57363253856941,110.79943899018232,111.80654338549077,99.71631205673759,14.747619047619049,14.495238095238093,UTA,SAC,0022100105,2021-22,2021-11-02,False,"{'name': 'Michael Smith', 'id': 1193}"
0.426027397260274,0.33579335793357934,0.8068965517241379,386,181,121,65,42,0.5228017132779038,0.125,0.2,0.44461778471138846,0.3254901960784314,0.7755102040816326,321,161,92,46,35,0.5434474549370819,0.429,0.4,103.33704115684093,110.97560975609757,108.65265760197775,109.88875154511743,12.304761904761905,15.175,SAC,NOP,0022100118,2021-22,2021-11-03,False,"{'name': 'Tony Brothers', 'id': 1146}"
0.45111896348645464,0.3956386292834891,0.7239583333333334,408,237,120,84,47,0.552770278956164,0.556,0.4,0.4535367545076283,0.3263157894736842,0.7810650887573964,358,188,100,54,42,0.5525799637899819,0.5,0.4,110.55179090029041,113.32046332046333,111.73245614035088,109.41949616648412,13.76,15.719444444444445,SAC,CHA,0022100132,2021-22,2021-11-05,False,"{'name': 'Rodney Mott', 'id': 1179}"
0.46711259754738016,0.35714285714285715,0.7701149425287356,449,253,154,72,59,0.5685319857019598,0.3,0.4,0.46410891089108913,0.3495440729483283,0.7897435897435897,414,217,118,59,43,0.5700380398299396,0.556,0.6,108.10081008100809,108.65644724977457,110.22840119165839,108.21782178217822,14.454545454545453,15.12888888888889,SAC,IND,0022100143,2021-22,2021-11-07,False,"{'name': 'Sean Wright', 'id': 2882}"
